SPA Эко,5000,4000,3000
19+22,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»,60,1,4000
18+22,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»,60,1,4000
23+22,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»,60,1,4000
22+6,"Программы для рук и ног «Руки»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
22+23,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»,60,1,4000
22+18,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо»,60,1,4000
23+6,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
20+18,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»,60,1,4000
1,Массаж с проработкой «Традиционный Тайский (Тай)»,60,1,3200
18+19,Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»,60,1,4000
20+22,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»,60,1,4000
19+18,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»,60,1,4000
22+19,Программы для рук и ног «Руки»+Программы для лица и головы «Голова»,60,1,4000
20+19,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Голова»,60,1,4000
SPA Эко,5000,4000,3000
23+18,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»,60,1,4000
19+23,Программы для лица и головы «Голова»+Программы для рук и ног «Ноги»,60,1,4000
10,Массаж с проработкой «Спорт-oil»,60,1,4000
18+6,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
21,Программы для лица и головы «Лицо и голова»,60,1,3600
12,Relax массаж «Тай Оил»,60,1,3600
8,Массаж с проработкой «Тай + травяные мешочки»,60,1,3600
6+18,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо»",60,1,4000
4,Массаж с проработкой «Восстанавливающий»,60,1,3200
20+23,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Ноги»,60,1,4000
23+19,Программы для рук и ног «Ноги»+Программы для лица и головы «Голова»,60,1,4000
31,SPA - уход «Бархатное прикосновение»,60,1,3600
SPA Эко,5000,4000,3000
7,"Массаж с проработкой «Спина, Шея, и Плечи»",60,1,3200
24,Программы для рук и ног «Ноги»,60,1,3200
23+20,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»,60,1,4000
6+19,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Голова»",60,1,4000
6+22,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Руки»",60,1,4000
18+20,Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»,60,1,4000
20+22,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»,60,1,4000
22+6,"Программы для рук и ног «Руки»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
20+23,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Ноги»,60,1,4000
22+23,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»,60,1,4000
18+22,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»,60,1,4000
SPA Норм,8400,6720,5040
31+19,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»,90,1,5600
8+18,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо»,90,1,5600
22+4,Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»,90,1,5200
20+5,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»,120,1,6400
19+8,Программы для лица и головы «Голова»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
18+12,Программы для лица и головы «Лицо»+Relax массаж «Тай Оил»,90,1,5600
20+7,"Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
31+22,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Руки»,90,1,5600
1+18,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»,90,1,5200
10+19,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Голова»,90,1,6000
18+2,Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
SPA Норм,8400,6720,5040
8+6,"Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5600
22+10,Программы для рук и ног «Руки»+Массаж с проработкой «Спорт-oil»,90,1,6000
6+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",90,1,5200
18+31,Программы для лица и головы «Лицо»+SPA - уход «Бархатное прикосновение»,90,1,5600
8+23,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»,90,1,5600
8+22,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Руки»,90,1,5600
1+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
23+31,Программы для рук и ног «Ноги»+SPA - уход «Бархатное прикосновение»,90,1,5600
4+18,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо»,90,1,5200
